,camper_id,session_id,zipcode,county_id,county,state,state_long_name,cases_per_100k_county,date_county,positive_of_total_state,increase_per_100k_state,date_state
183,11411575,session_2,28211,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
184,11444777,session_4,27106,37067,Forsyth,NC,North Carolina,86.18,2020-10-30,6.772489147149948,26.74,2020-10-31
185,11444828,session_4,27106,37067,Forsyth,NC,North Carolina,86.18,2020-10-30,6.772489147149948,26.74,2020-10-31
186,11479025,session_3,28749,37111,McDowell,NC,North Carolina,12.9,2020-10-30,6.772489147149948,26.74,2020-10-31
187,11491894,session_2,29439,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
188,11492016,session_2,29439,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
189,11507546,session_6,29412,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
190,11596730,session_3,27516,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
191,11659983,session_2,29412,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
192,11664475,session_2,29412,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
193,11664906,session_3,28711,37021,Buncombe,NC,North Carolina,40.16,2020-10-30,6.772489147149948,26.74,2020-10-31
194,11708800,session_2,31522,13127,Glynn,GA,Georgia,36.1,2020-10-30,10.059965525260193,24.16,2020-10-31
195,11713296,session_2,31522,13127,Glynn,GA,Georgia,36.1,2020-10-30,10.059965525260193,24.16,2020-10-31
196,11785324,session_4,28690,37023,Burke,NC,North Carolina,25.93,2020-10-30,6.772489147149948,26.74,2020-10-31
197,11874962,session_4,28601,37035,Catawba,NC,North Carolina,43.86,2020-10-30,6.772489147149948,26.74,2020-10-31
198,11875177,session_4,28601,37035,Catawba,NC,North Carolina,43.86,2020-10-30,6.772489147149948,26.74,2020-10-31
199,12002018,session_6,29401,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
200,12086728,session_6,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
201,12146534,session_4,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
